,text,match,probability,model,dataset
0,a,match,0.996973991394043,ViT-B-32,synthetic
1,a,match,0.9999964237213135,ViT-B-32,synthetic
2,a,match,1.0,ViT-B-32,synthetic
3,a,match,0.9998471736907959,ViT-B-32,synthetic
4,a,match,0.9998816251754761,ViT-B-32,synthetic
5,a,match,0.996039867401123,ViT-B-32,synthetic
6,a,match,0.9999884366989136,ViT-B-32,synthetic
7,a,match,0.9999436140060425,ViT-B-32,synthetic
8,a,match,0.9999692440032959,ViT-B-32,synthetic
9,a,match,0.9998212456703186,ViT-B-32,synthetic
10,a,match,0.9999997615814209,ViT-B-32,synthetic
11,a,match,0.9999953508377075,ViT-B-32,synthetic
12,a,match,0.9992958307266235,ViT-B-32,synthetic
13,a,match,0.9999951124191284,ViT-B-32,synthetic
14,a,match,0.9967743754386902,ViT-B-32,synthetic
15,a,match,0.999872088432312,ViT-B-32,synthetic
16,a,match,0.9999942779541016,ViT-B-32,synthetic
17,a,match,0.9999955892562866,ViT-B-32,synthetic
18,a,match,0.991949200630188,ViT-B-32,synthetic
19,a,match,1.0,ViT-B-32,synthetic
20,a,match,0.012964698486030102,ViT-B-32,synthetic
21,a,match,0.9998996257781982,ViT-B-32,synthetic
22,a,match,0.9999991655349731,ViT-B-32,synthetic
23,a,match,1.0,ViT-B-32,synthetic
24,a,match,0.999998927116394,ViT-B-32,synthetic
25,a,match,0.999991774559021,ViT-B-32,synthetic
26,a,match,0.9257349371910095,ViT-B-32,synthetic
27,a,match,0.9999970197677612,ViT-B-32,synthetic
28,a,match,0.567464292049408,ViT-B-32,synthetic
29,a,match,0.9997461438179016,ViT-B-32,synthetic
30,a,match,0.9999967813491821,ViT-B-32,synthetic
31,a,match,0.9999516010284424,ViT-B-32,synthetic
32,a,match,0.9970791339874268,ViT-B-32,synthetic
33,a,match,0.9999105930328369,ViT-B-32,synthetic
34,a,match,0.9999991655349731,ViT-B-32,synthetic
35,a,match,0.9533327221870422,ViT-B-32,synthetic
36,a,match,0.8789827823638916,ViT-B-32,synthetic
37,a,match,1.0,ViT-B-32,synthetic
38,a,match,0.9988786578178406,ViT-B-32,synthetic
39,a,match,0.6272312998771667,ViT-B-32,synthetic
40,a,match,0.9999958276748657,ViT-B-32,synthetic
41,a,match,0.9989140033721924,ViT-B-32,synthetic
42,a,match,0.9999178647994995,ViT-B-32,synthetic
43,a,match,0.9999996423721313,ViT-B-32,synthetic
44,a,match,0.9081995487213135,ViT-B-32,synthetic
45,a,match,0.9999951124191284,ViT-B-32,synthetic
46,a,match,0.9998754262924194,ViT-B-32,synthetic
47,a,match,0.9980965256690979,ViT-B-32,synthetic
48,a,match,0.9720860719680786,ViT-B-32,synthetic
49,a,match,0.9999997615814209,ViT-B-32,synthetic
50,a,match,0.9999958276748657,ViT-B-32,synthetic
51,a,match,0.9999815225601196,ViT-B-32,synthetic
52,a,match,0.9999856948852539,ViT-B-32,synthetic
53,a,match,0.9999589920043945,ViT-B-32,synthetic
54,a,mismatch,0.0030260279309004545,ViT-B-32,synthetic
55,a,mismatch,3.6152018765278626e-06,ViT-B-32,synthetic
56,a,mismatch,5.8099738353689645e-09,ViT-B-32,synthetic
57,a,mismatch,0.0001528529974166304,ViT-B-32,synthetic
58,a,mismatch,0.00011831407755380496,ViT-B-32,synthetic
59,a,mismatch,0.003960102796554565,ViT-B-32,synthetic
60,a,mismatch,1.1533786164363846e-05,ViT-B-32,synthetic
61,a,mismatch,5.633620821754448e-05,ViT-B-32,synthetic
62,a,mismatch,3.075863787671551e-05,ViT-B-32,synthetic
63,a,mismatch,0.00017877704522106797,ViT-B-32,synthetic
64,a,mismatch,2.5260499114665436e-07,ViT-B-32,synthetic
65,a,mismatch,4.702371825260343e-06,ViT-B-32,synthetic
66,a,mismatch,0.0007041958742775023,ViT-B-32,synthetic
67,a,mismatch,4.8785877879709005e-06,ViT-B-32,synthetic
68,a,mismatch,0.0032256534323096275,ViT-B-32,synthetic
69,a,mismatch,0.00012783825513906777,ViT-B-32,synthetic
70,a,mismatch,5.6918720474641304e-06,ViT-B-32,synthetic
71,a,mismatch,4.456433089217171e-06,ViT-B-32,synthetic
72,a,mismatch,0.008050788193941116,ViT-B-32,synthetic
73,a,mismatch,2.67624535865707e-08,ViT-B-32,synthetic
74,a,mismatch,0.98703533411026,ViT-B-32,synthetic
75,a,mismatch,0.0001004021760309115,ViT-B-32,synthetic
76,a,mismatch,8.089199923233537e-07,ViT-B-32,synthetic
77,a,mismatch,1.6787138790164136e-08,ViT-B-32,synthetic
78,a,mismatch,1.061293005477637e-06,ViT-B-32,synthetic
79,a,mismatch,8.179877113434486e-06,ViT-B-32,synthetic
80,a,mismatch,0.07426506280899048,ViT-B-32,synthetic
81,a,mismatch,2.9710699891438708e-06,ViT-B-32,synthetic
82,a,mismatch,0.43253567814826965,ViT-B-32,synthetic
83,a,mismatch,0.0002538074622862041,ViT-B-32,synthetic
84,a,mismatch,3.160015694447793e-06,ViT-B-32,synthetic
85,a,mismatch,4.836980588152073e-05,ViT-B-32,synthetic
86,a,mismatch,0.0029209477361291647,ViT-B-32,synthetic
87,a,mismatch,8.935555524658412e-05,ViT-B-32,synthetic
88,a,mismatch,8.568540010855941e-07,ViT-B-32,synthetic
89,a,mismatch,0.04666730761528015,ViT-B-32,synthetic
90,a,mismatch,0.12101728469133377,ViT-B-32,synthetic
91,a,mismatch,2.2699703450257402e-08,ViT-B-32,synthetic
92,a,mismatch,0.0011213361285626888,ViT-B-32,synthetic
93,a,mismatch,0.37276872992515564,ViT-B-32,synthetic
94,a,mismatch,4.190267191006569e-06,ViT-B-32,synthetic
95,a,mismatch,0.0010860292240977287,ViT-B-32,synthetic
96,a,mismatch,8.209786028601229e-05,ViT-B-32,synthetic
97,a,mismatch,3.082426189848775e-07,ViT-B-32,synthetic
98,a,mismatch,0.09180042147636414,ViT-B-32,synthetic
99,a,mismatch,4.935445303999586e-06,ViT-B-32,synthetic
100,a,mismatch,0.00012461343430913985,ViT-B-32,synthetic
101,a,mismatch,0.001903445809148252,ViT-B-32,synthetic
102,a,mismatch,0.027913950383663177,ViT-B-32,synthetic
103,a,mismatch,2.8657163397838303e-07,ViT-B-32,synthetic
104,a,mismatch,4.138479653192917e-06,ViT-B-32,synthetic
105,a,mismatch,1.850464104791172e-05,ViT-B-32,synthetic
106,a,mismatch,1.4300538168754429e-05,ViT-B-32,synthetic
107,a,mismatch,4.1054197936318815e-05,ViT-B-32,synthetic
